Epoch 0 | Batch 0/100 | Loss 8.637595
Epoch 0 | Batch 10/100 | Loss 3.030841
Epoch 0 | Batch 20/100 | Loss 1.922173
Epoch 0 | Batch 30/100 | Loss 1.453260
Epoch 0 | Batch 40/100 | Loss 1.166576
Epoch 0 | Batch 50/100 | Loss 0.970964
Epoch 0 | Batch 60/100 | Loss 0.834692
Epoch 0 | Batch 70/100 | Loss 0.738701
Epoch 0 | Batch 80/100 | Loss 0.656344
Epoch 0 | Batch 90/100 | Loss 0.587470
100 Test Acc = 77.20% +- 1.75%
best model! save...
Epoch 1 | Batch 0/100 | Loss 0.054579
Epoch 1 | Batch 10/100 | Loss 0.078926
Epoch 1 | Batch 20/100 | Loss 0.056459
Epoch 1 | Batch 30/100 | Loss 0.047358
Epoch 1 | Batch 40/100 | Loss 0.040623
Epoch 1 | Batch 50/100 | Loss 0.035292
Epoch 1 | Batch 60/100 | Loss 0.032285
Epoch 1 | Batch 70/100 | Loss 0.029679
Epoch 1 | Batch 80/100 | Loss 0.028389
Epoch 1 | Batch 90/100 | Loss 0.026517
100 Test Acc = 70.94% +- 1.23%
Epoch 2 | Batch 0/100 | Loss 0.005224
Epoch 2 | Batch 10/100 | Loss 0.009776
Epoch 2 | Batch 20/100 | Loss 0.007933
Epoch 2 | Batch 30/100 | Loss 0.007124
Epoch 2 | Batch 40/100 | Loss 0.008885
Epoch 2 | Batch 50/100 | Loss 0.007776
Epoch 2 | Batch 60/100 | Loss 0.007763
Epoch 2 | Batch 70/100 | Loss 0.007881
Epoch 2 | Batch 80/100 | Loss 0.007503
Epoch 2 | Batch 90/100 | Loss 0.007713
100 Test Acc = 74.12% +- 1.63%
Epoch 3 | Batch 0/100 | Loss 0.004987
Epoch 3 | Batch 10/100 | Loss 0.002603
Epoch 3 | Batch 20/100 | Loss 0.004640
Epoch 3 | Batch 30/100 | Loss 0.003612
Epoch 3 | Batch 40/100 | Loss 0.003236
Epoch 3 | Batch 50/100 | Loss 0.002969
